,bhk,status,Size(Sq/ft),Price/Sqft,price,bath,area
0,3.0,Under Construction,1755 ,3950,6932000.0,3 ,Noida Extensions
1,,Resale,900 ,1666,1500000.0,,Sector 122
2,3.0,Under Construction,978 ,30603,29900000.0,,Sector 146
3,3.0,Under Construction,978 ,32753,32000000.0,,Sector 146
4,3.0,Ready to move,2350 ,11489,27000000.0,3 ,Sector 50
5,1.0,Ready to move,625 ,4320,2700000.0,,Sector 49
6,2.0,Ready to move,1110 ,10810,12000000.0,2 ,Sector 93
7,7.0,Ready to move,8500 ,13529,115000000.0,7 ,Sector 150
8,3.0,Ready to move,1505 ,6445,9700000.0,2 ,Sector 74
9,3.0,Ready to move,2300 ,15652,36000000.0,4 ,Sector 150
10,3.0,Ready to move,1385 ,9805,13500000.0,2 ,Sector 77
11,1.0,Ready to move,834 ,28355,23600000.0,,Sector 94
12,3.0,Ready to move,1800 ,13777,24800000.0,3 ,Sector 62
13,3.0,Ready to move,2003 ,10983,22000000.0,3 ,Sector 128
14,3.0,Ready to move,1750 ,13999,24400000.0,,Sector 150
15,2.0,Ready to move,1250 ,6240,7800000.0,2 ,Sector 168
16,3.0,Under Construction,1675 ,12253,20500000.0,,Sector 150
17,3.0,Ready to move,1545 ,10679,16500000.0,3 ,Sector 77
18,3.0,Under Construction,1700 ,6470,11000000.0,3 ,Sector 143B
19,1.0,Ready to move,600 ,3958,2375000.0,1 ,Sector 73
20,3.0,Under Construction,1755 ,3950,6932000.0,3 ,Noida Extensions
21,,Resale,900 ,1666,1500000.0,,Sector 122
22,3.0,Under Construction,978 ,30603,29900000.0,,Sector 146
23,3.0,Under Construction,978 ,32753,32000000.0,,Sector 146
24,3.0,Ready to move,2350 ,11489,27000000.0,3 ,Sector 50
25,1.0,Ready to move,625 ,4320,2700000.0,,Sector 49
26,2.0,Ready to move,1110 ,10810,12000000.0,2 ,Sector 93
27,7.0,Ready to move,8500 ,13529,115000000.0,7 ,Sector 150
28,3.0,Ready to move,1505 ,6445,9700000.0,2 ,Sector 74
29,3.0,Ready to move,2300 ,15652,36000000.0,4 ,Sector 150
30,3.0,Ready to move,1385 ,9805,13500000.0,2 ,Sector 77
31,1.0,Ready to move,834 ,28355,23600000.0,,Sector 94
32,3.0,Ready to move,1800 ,13777,24800000.0,3 ,Sector 62
33,3.0,Ready to move,2003 ,10983,22000000.0,3 ,Sector 128
34,3.0,Ready to move,1750 ,13999,24400000.0,,Sector 150
35,2.0,Ready to move,1250 ,6240,7800000.0,2 ,Sector 168
36,3.0,Under Construction,1675 ,12253,20500000.0,,Sector 150
37,3.0,Ready to move,1545 ,10679,16500000.0,3 ,Sector 77
38,3.0,Under Construction,1700 ,6470,11000000.0,3 ,Sector 143B
39,1.0,Ready to move,600 ,3958,2375000.0,1 ,Sector 73
40,2.0,Ready to move,1131 ,7957,9000000.0,2 ,Sector 137
41,3.0,Under Construction,2555 ,13000,33200000.0,3 ,Sector 150
42,1.0,Ready to move,600 ,4000,2400000.0,1 ,Surajpur Site 4
43,2.0,Ready to move,1025 ,11317,11600000.0,2 ,Sector 144
44,4.0,Ready to move,1430 ,6013,8600000.0,4 ,Sector 151
45,2.0,Under Construction,1700 ,3049,5184000.0,2 ,Sector 16B
46,2.0,Ready to move,1750 ,7428,13000000.0,2 ,Sector 27
47,3.0,Ready to move,1350 ,3185,4300000.0,3 ,Sector 73
48,4.0,Ready to move,2091 ,18412,38500000.0,4 ,Sector 75
49,4.0,Under Construction,2990 ,10969,32800000.0,4 ,Sector 150
50,3.0,Under Construction,1380 ,8261,11400000.0,2 ,Noida Extensions
51,3.0,Under Construction,1380 ,8261,11400000.0,2 ,Noida Extensions
52,3.0,Under Construction,1380 ,8261,11400000.0,2 ,Noida Extensions
53,3.0,Under Construction,1380 ,8261,11400000.0,2 ,Noida Extensions
54,2.0,Ready to move,1050 ,3095,3250000.0,2 ,Noida Extensions
55,3.0,Ready to move,977 ,32958,32200000.0,3 ,Sector 146
56,3.0,Under Construction,1500 ,7000,10500000.0,,Sector 25 Yamuna Express Way
57,1.0,Ready to move,650 ,3692,2399000.0,2 ,Sector 32
58,3.0,Ready to move,2510 ,14342,36000000.0,3 ,Sector 75
59,4.0,Ready to move,5500 ,4945,27200000.0,4 ,Sector 31
60,3.0,Under Construction,1380 ,8261,11400000.0,2 ,Noida Extensions
61,3.0,Ready to move,1265 ,6482,8200000.0,2 ,Sector 137
62,4.0,Ready to move,2910 ,7216,21000000.0,4 ,Phase 2 Noida Extension
63,3.0,Ready to move,1555 ,10610,16500000.0,2 ,Sector 77
64,4.0,Ready to move,2600 ,5500,14300000.0,,Sector 16B
65,3.0,Ready to move,1950 ,3025,5900000.0,3 ,Sector 49
66,3.0,Under Construction,978 ,30603,29900000.0,,Sector 146
67,2.0,Under Construction,870 ,3448,3000000.0,2 ,Girdharpur Sunarasi
68,2.0,Under Construction,831 ,30084,25000000.0,,Sector 146
69,3.0,Under Construction,1380 ,8262,11400000.0,2 ,Noida Extensions
70,3.0,Ready to move,2460 ,13999,34400000.0,,Sector 150
71,4.0,Under Construction,1821 ,24032,43700000.0,4 ,Sector 150
72,4.0,Ready to move,4500 ,18888,85000000.0,4 ,Sector 104
73,2.0,Ready to move,1290 ,8527,11000000.0,2 ,Sector 77
74,3.0,Ready to move,2200 ,11363,25000000.0,3 ,rho 2
75,,New,2160 ,8888,19200000.0,,Yeida
76,,New,9000 ,555,4999000.0,,Sector 150
77,,New,27216 ,1103,30000000.0,,Sector 135
78,3.0,Ready to move,1410 ,5200,7332000.0,3 ,Sector 77
79,3.0,Under Construction,1580 ,6930,10900000.0,3 ,Phase 2 Noida Extension
80,1.0,Ready to move,2152 ,10223,22000000.0,2 ,rho 2
81,4.0,Ready to move,3501 ,17566,61500000.0,4 ,Sector 107
82,2.0,Ready to move,1220 ,11878,14400000.0,1 ,Sector 94
83,3.0,Ready to move,1861 ,16442,30600000.0,4 ,Sector 150
84,3.0,Under Construction,1580 ,8000,12600000.0,,Phase 2 Noida Extension
85,3.0,Ready to move,1775 ,3699,6565000.0,3 ,Phase 2 Noida Extension
86,3.0,Under Construction,1580 ,8000,12600000.0,,Phase 2 Noida Extension
87,3.0,Under Construction,3270 ,19114,62500000.0,3 ,Sector 94
88,2.0,Ready to move,1183 ,8875,10500000.0,2 ,Sector 100
89,3.0,Under Construction,1380 ,8262,11400000.0,2 ,Noida Extensions
90,,New,900 ,2666,2400000.0,,Sector 148
91,2.0,Under Construction,1050 ,3095,3250000.0,2 ,Noida Extensions
92,2.0,Ready to move,750 ,2533,1900000.0,2 ,Sector 86
93,3.0,Ready to move,1450 ,3517,5100000.0,3 ,Noida Extensions
94,5.0,Ready to move,4000 ,9125,36500000.0,5 ,Sector 41
95,4.0,Ready to move,3000 ,7033,21100000.0,4 ,Phase 2 Noida Extension
96,3.0,Ready to move,900 ,3333,2999000.0,,Sector 102
97,2.0,Ready to move,1035 ,3577,3702000.0,2 ,Sector 74
98,3.0,Ready to move,1545 ,8414,13000000.0,3 ,Sector 76
99,3.0,Ready to move,2280 ,12500,28500000.0,4 ,Sector 79
100,3.0,Ready to move,1971 ,11922,23500000.0,3 ,Sector 77
101,,Ready to move,550 ,10727,5900000.0,1 ,Sector 16B
102,3.0,Under Construction,2150 ,12500,26800000.0,4 ,Sector 150
103,4.0,Ready to move,3501 ,18500,64700000.0,3 ,Sector 107
104,3.0,Under Construction,1800 ,9000,16200000.0,,Noida Extensions
105,3.0,Under Construction,1616 ,13587,21900000.0,4 ,Sector 43
106,2.0,Under Construction,985 ,2842,2800000.0,,Noida Extensions
107,5.0,Under Construction,3750 ,17600,66000000.0,6 ,Sector 43
108,4.0,Ready to move,3000 ,7003,21000000.0,4 ,Phase 2 Noida Extension
109,3.0,Ready to move,1285 ,9182,11800000.0,3 ,Sector 150
110,3.0,Ready to move,1700 ,2529,4300000.0,2 ,Noida Extensions
111,2.0,Under Construction,1155 ,7445,8600000.0,2 ,Sector 150
112,2.0,Ready to move,1155 ,8122,9382000.0,2 ,Sector 150
113,3.0,Ready to move,1495 ,11036,16500000.0,3 ,Sector 143
114,3.0,Ready to move,2215 ,7850,17300000.0,3 ,Sector 74
115,3.0,Ready to move,1375 ,3269,4494000.0,,Noida Extensions
116,4.0,Ready to move,3501 ,18500,64700000.0,3 ,Sector 107
